Group ID,Dataset,Entity ID,Entity name,address,city,company_owner,country,email,industry_sector,phone,Group size,Name similarity,Relatedness,Explanation
247,D1,815,Foodies Delight,800 Gourmet Rd,Foodtown,Chef Cook,Culinaryland,info@foodiesdelight.fb,Food & Beverage,6677889900,5,0.8119747899159664,3,"Build Smart and Build It have similar names but differ in address, company owner, country, email, and phone number, indicating they are likely unrelated."
247,D2,818,Foodies Delight,9000 Taste Ave,Gourmet City,Gourmet Group,Foodland,contact@foodiesdelight.com,Food & Beverage,9900990011,5,0.8119747899159664,3,"Build Smart and Build It have similar names but differ in address, company owner, country, email, and phone number, indicating they are likely unrelated."
247,D2,819,Foodies Delight Co.,808 Gourmet Ave,FoodCity,Chris Cook,TasteLand,contact@foodiesdelight.com,Food & Beverage,3344556688,5,0.8119747899159664,3,"Build Smart and Build It have similar names but differ in address, company owner, country, email, and phone number, indicating they are likely unrelated."
247,D2,820,Foodies Delight Inc.,800 Gourmet Rd,Food City,Gourmet Group,Cuisineland,contact@foodiesdelight.com,Food & Beverage,1666777888,5,0.8119747899159664,3,"Build Smart and Build It have similar names but differ in address, company owner, country, email, and phone number, indicating they are likely unrelated."
247,D2,821,Foodies Delight Ltd.,789 Gourmet Ave,Taste Town,Chef Delight,Foodland,hello@foodiesdelight.food,Food & Beverage,3456789012,5,0.8119747899159664,3,"Build Smart and Build It have similar names but differ in address, company owner, country, email, and phone number, indicating they are likely unrelated."
331,D1,1145,Innovate Solutions,207 Tech Park,Innovate City,Jordan Innovate,Techland,help@innovatesolutions.com,Technology,1234567897,7,0.8129055258467024,8,"Entities share the same industry, country, and partial name, suggesting a strong connection."
331,D2,1141,Innovate Solutions,1010 Pioneer Rd,Innovate City,Paul Innovator,Techland,support@innovatesolutions.com,Technology,2333444555,7,0.8129055258467024,8,"Entities share the same industry, country, and partial name, suggesting a strong connection."
331,D2,1142,Innovate Solutions Ltd,102 Innovation Drive,TechVille,Innovate Holdings,InnovLand,support@innovatesolutions.com,Technology,1234567891,7,0.8129055258467024,8,"Entities share the same industry, country, and partial name, suggesting a strong connection."
331,D1,1171,Innovative Solutions,137 Innovation Dr,Tech City,Innovator Group,Innovatia,support@innovativesolutions.com,Technology,1122446689,7,0.8129055258467024,8,"Entities share the same industry, country, and partial name, suggesting a strong connection."
331,D2,1168,Innovative Solutions Group,128 Smart St,Smart City,Jordan Smart,Smartland,info@innovativesolutions.com,Construction,5566778899,7,0.8129055258467024,8,"Entities share the same industry, country, and partial name, suggesting a strong connection."
