employer_id,employer_name,sector,address,city,country,email,phone,owner
0,MediaWave,Media,1111 Broadcast Blvd,Media City,NewsLand,contact@mediawave.com,1123456789,News Anchor
1,Urban Tech,Technology,909 Innovation Dr,Tech City,Innovatia,contact@urbantech.com,1333444555,Jordan Tech
2,TechGurus,Technology,963 Innovation Dr,Tech City,Innovatia,hello@techgurus.tech,1314151617,Jamie Tech
3,Harvest Growers,Agriculture,715 Farm Lane,Harvest,Agroland,contact@harvestgrowers.co,1112131422,Farmer Green
4,Foodies Delight,Food & Beverage,800 Gourmet Rd,Foodtown,Culinaryland,info@foodiesdelight.fb,6677889900,Chef Cook
5,BrightFuture Education,Education,321 Knowledge Ave,EduCity,LearnLand,contact@brightfuture.edu,1234567891,Liam Johnson
6,GreenFields Co.,Agriculture,502 Farm Rd,Harvest City,AgriLand,support@greenfields.com,3344556679,Farmer John
7,Adventure Travels,Travel & Leisure,159 Adventure Ave,Explore Town,Wanderlust,contact@adventuretravels.com,4455667788,Morgan Explore
8,Learning Pioneers,Education,405 Knowledge Rd,Learn City,Eduworld,contact@learningpioneers.com,6677889905,Morgan Scholar
9,Constructive Ventures,Construction,408 Construct Ave,Construct City,Buildland,info@constructiveventures.com,3344556678,Morgan Build
10,Harvest Co.,Agriculture,606 Harvest Rd,Harvest City,USA,hello@harvestco.com,4455667788,Farmer Fields
11,BuildSmart,Construction,707 Construct Lane,Buildtown,Constructia,contact@buildsmart.con,2223334445,Builder Innovator
12,Tech Innovators Group,Technology,128 Silicon Avenue,Techville,Innovatia,group@techinnovators.com,1234567895,Taylor Byte
13,Travel Ventures,Travel,900 Adventure Rd,Travel City,Wanderland,support@travelventures.com,1778899001,Mr. Explorer
14,AutoDrive Motors,Automotive,404 Drive Blvd,AutoCity,MotorLand,support@autodrivemotors.com,7788990011,Alex Driver
15,Travel Ventures,Travel,909 Adventure Road,Travel Town,Wanderland,contact@travelventures.com,6677889900,Alex Wander
16,Wind Wonders,Energy,500 Windy Lane,Breezy Town,Windland,info@windwonders.com,6677889900,Gale Force
17,Fashion Creators,Fashion,654 Trend Avenue,Fashion City,Trendland,info@fashioncreators.fashion,3344556678,Style Icon
18,Buildland Construction Co.,Construction,3344 Build Blvd,Construct City,Buildland,hello@buildlandco.com,1444000555,Jordan Build
19,HealthFirst Inc.,Healthcare,404 Health St,Wellness City,Healthland,info@healthfirst.com,4455667788,Dana Health
20,EcoTech Enterprises,Technology,129 Silicon Avenue,Tech City,Innovatia,contact@ecotechenterprises.com,1234567896,Morgan Green
