Group ID,Relatedness,Explanation
169,9,"Same address, city, country, owner, and sector. Slight variations in name and email."
168,10,"Identical address, city, country, owner, phone, and sector. Minor variations in name and email."
167,8,"Similar names, same city, country, owner, and sector. Slight address and email differences."
166,9,"Same address, city, country, owner, and sector. Minor variations in name and phone."
165,7,"Same address, city, country, owner, and sector. Differences in phone and slight name variation."
162,10,"Identical address, city, country, owner, phone, and sector. Minor name variation."
163,9,"Same address, city, country, owner, phone, and sector. Minor name and email differences."
164,6,"Similar names, same city, country, owner, and sector. Differences in address, phone, and email."
161,5,"Similar names, same city, country, and sector. Differences in address, owner, and phone."
160,10,"Identical address, city, country, owner, phone, and sector. Minor name variation."
141,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
159,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
156,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
158,10,"Identical address, city, country, owner, phone, and sector. Minor name variation."
157,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
154,7,"Similar names, same address, city, country, and sector. Differences in owner and phone."
155,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
151,6,"Similar names, same address, city, country, owner, and sector. Differences in email and phone."
152,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
153,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
150,10,"Identical address, city, country, owner, phone, and sector. Minor name variation."
147,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
148,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
149,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
146,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
98,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
145,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
143,7,"Similar names, same address, city, country, and sector. Differences in owner and phone."
144,5,"Similar names, same city, country, owner, and sector. Differences in address and phone."
142,10,"Identical address, city, country, owner, phone, and sector. Minor name variation."
139,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
140,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
86,10,"Identical address, city, country, owner, phone, and sector. Minor name and email variations."
