Group ID,Dataset,Entity ID,Entity name,address,city,company_owner,country,email,industry_sector,phone,Group size,Name similarity
696,D1,330,Casey Builders,814 Builder Street,Constructopolis,Jordan Casey,Buildland,contact@caseybuilders.com,Construction,5566778899,2,0.75
696,D1,331,Casey Builders Inc.,820 Builder Avenue,Constructopolis,Jamie Casey,Buildland,info@caseybuilders.com,Construction,5566778897,2,0.75
697,D1,436,Digital Dreams,1400 Cyber St,Tech City,Taylor Digital,Digitalia,info@digitaldreams.com,Technology,1012345678,2,0.75
697,D2,456,Digital Dreams Ltd.,88 Cyber Street,Tech City,Dream Weaver,Innovatia,support@digitaldreams.com,Technology,5566778899,2,0.75
698,D1,518,EcoBuild Innovations,1414 Eco St,Green City,Sam Right,Constructia,contact@ecobuild.com,Construction,1122334455,2,0.75
698,D1,519,EcoBuild Innovatons,456 Green Bld Ave,EcoBuild City,Taylor Eco,ConstructLand,contact@ecobuild.com,Construction,5567890123,2,0.75
699,D1,717,Fashion Trends,777 Style Blvd,Trendtown,Alexis Trend,Fashionland,hello@fashiontrends.com,Fashion,6677889900,2,0.75
699,D1,718,Fashion Trends Inc.,501 Style St,Fashion City,Taylor Fashionista,Trendland,support@fashiontrends.com,Retail,9988776656,2,0.75
700,D1,1006,GreenPower Solutions,456 Eco Rd,GreenCity,Eco Light,EcoWorld,contact@greenpowersolutions.com,Renewable Energy,9988773344,2,0.75
700,D1,1007,GreenPower Solutons,456 Eco Road,GreenCity,Eco Light,EcoWorld,info@greenpowersolutions.com,Renewable Energy,9988773344,2,0.75
701,D1,1325,Oceanic Shipping Co.,101 Ocean Drive,Port City,Morgan Sailor,Sealand,contact@oceanicshipping.com,Transportation,2233445566,2,0.75
701,D1,1326,Oceanic Shipping Ltd,202 Harbor Rd,Port City,Marine Group,Sealand,contact@oceanicshipping.com,Logistics,6677665544,2,0.75
702,D2,1901,UrbanConstruct,500 Build St,ConstructCity,Bob Builder,Buildland,contact@urbanconstruct.com,Construction,9900334500,2,0.75
702,D1,1895,UrbanConstruct Ltd.,607 Build Street,Construct City,Builder Strong,USA,info@urbanconstruct.construct,Construction,4455667788,2,0.75
703,D2,82,Aqua Marine,444 Aqua Rd,MarineCity,Jordan Aqua,AquaLand,contact@aquamarine.com,Marine,9112345678,2,0.75
703,D2,83,Aqua Marine Co.,50 Ocean Drive,Seaside,Oceanic Ventures,Aquatica,info@aquamarineco.com,Marine,9876543210,2,0.75
704,D2,214,Breeze Energi Solutions,1300 Windy Lane,BreezyTown,Breeze Holdings,Windland,info@breezeenergysolutions.com,Renewable Energy,2345678906,2,0.75
704,D2,215,Breeze Energy Solutions,1300 Windy Lane,BreezyTown,Breeze Holdings,Windland,contact@breezeenergysolutions.com,Renewable Energy,2345678906,2,0.75
705,D2,362,CleanEnergy,753 Solar St,EnergyVille,Chris Power,PowerLand,info@cleanenergy.com,Energy,9988223344,2,0.75
705,D2,363,CleanEnergy Co,900 Solar Street,Energy City,Power Corp,Powerland,contact@cleanenergy.com,Energy,1777888999,2,0.75
706,D2,952,Green Solutons,25 Solar Dr.,Eco City,George Green,Greenland,info@greensolutions.com,Energy,9876543216,2,0.75
