name,sector,address,city,country,email,phone,owner,safety_grievances,pay_grievances,conditions_grievances,treatment_grievances,workload_grievances
Innovatech,Technology,59 Innovation Drive,Tech City,Innovatia,support@innovatech.tech,2233445569,Nova Group,0,0,0,0,0
Travel Ventures,Travel,505 Journey Rd,Explore City,Traveland,contact@travelventures.trav,8901234567,Henry Gold,0,0,0,0,0
Innovative Solutions Group,Construction,128 Smart St,Smart City,Smartland,info@innovativesolutions.com,5566778899,Jordan Smart,0,0,0,0,0
Capital Growth Ltd,Finance,14 Money Blvd,FinanceCity,WealthLand,support@capitalgrowth.com,6789012348,Wealth Group,0,0,0,0,0
Fashion Forward,Fashion,700 Style St,Fashion City,Stylia,contact@fashionforward.com,6677889900,Style Icon,0,0,0,0,0
BuildIt Construction,Construction,654 Build St,Construct City,Buildland,contact@buildit.com,5678901234,Mr. Builder,0,0,0,0,0
TechSavvy Solutions,Technology,22 Digital Drive,Tech City,Gadgetland,info@techsavvy.tech,1122334455,Gadget Group,0,0,0,0,0
Adventure Gear,Retail,1212 Adventure Blvd,Outdoor City,New Zealand,contact@adventuregear.com,1314151617,Sophia Explorer,0,0,0,0,0
Journey Planners,Travel,507 Journey Rd,Explore City,Traveland,contact@journeyplanners.trav,8901234568,Henry Silver,0,0,0,0,0
Smart Techies,Technology,2020 Innovation Drive,Tech City,Techland,contact@smarttechies.com,6655667788,Tech Guru,0,0,0,0,0
Media Buzz,Media,1010 Broadcast Blvd,Media City,Mediatopia,support@mediabuzz.com,8899001122,Jack Journalist,0,0,0,0,0
ConstructCo,Construction,701 Build Rd,Construct City,Buildland,info@constructco.com,5566778899,Alice Architect,0,0,0,0,0
EduSmart Solutions,Education,101 Learning Ln,Knowledge City,Learnland,info@edusmart.com,1223344556,Chris Learn,0,0,0,0,0
TechBuild,Construction,1212 Tech Blvd,TechCity,TechLand,support@techbuild.com,5678901234,Tech Holdings,0,0,0,0,0
Tech Innovate,Technology,123 Future Lane,Innovate City,Techland,info@techinnovate.com,1234567890,Innovate Corp,0,0,0,0,0
FashionForward,Retail,524 Fashion Blvd,Style City,Trendland,info@fashionforward.retail,1889900119,Fashionista,0,0,0,0,0
AgriGrowth Farms,Agriculture,1100 Harvest Road,Farm City,AgriLand,info@agrigrowth.com,9988776655,Taylor Farmer,0,0,0,0,0
Tech Innovators Network,Technology,134 Silicon Ave,Tech City,Innovatia,network@techinnovators.com,1234567801,Tech Networker,0,0,0,0,0
Foodies Delight,Food & Beverage,34 Gourmet St,Taste Town,Cuisinia,contact@foodiesdelight.com,1555789012,Chef Delicious,0,0,0,0,0
TravelWorld Agency,Travel,900 Journey Ave,Explore City,Traveland,contact@travelworldagency.com,6677889900,Jordan Wander,0,0,0,0,0
Health Services Co.,Healthcare,815 Health Blvd,Health City,Healthland,contact@healthservices.health,9988776660,Guardian Heal,0,0,0,0,0
Windy Skies Ltd,Aviation,3333 Horizon Ave,Aero City,Flyland,support@windyskies.com,1122334455,Taylor Breeze,0,0,0,0,0
Culinary Creations,Food & Beverage,8002 Gourmet Rd,Foodtown,Culinaryland,contact@culinarycreations.food,1555000225,Jordan Chef,0,0,0,0,0
Green Energy Solutions,Energy,789 Solar Rd,Eco City,GreenLand,info@greenenergysolutions.com,3344556677,Jamie Green,0,0,0,0,0
Wellbeing Solutions,Healthcare,456 Health Avenue,Health City,Wellland,support@wellbeingsolutions.com,4455667790,Morgan Well,0,0,0,0,0
EcoBuild Construction,Construction,789 Build Ave,ConstructVille,BuildLand,contact@ecobuildconstruction.com,1122334455,Chris Builder,0,0,0,0,0
EduLearn Systems,Education,987 Knowledge Way,Learnville,EduNation,contact@edulearn.edu,1920212223,Edu Group,0,0,0,0,0
Tech Titans,Technology,707 Innovation Dr,Tech City,Innovatia,support@techtitans.tech,1415161718,Innovator Prime,0,0,0,0,0
EduTech Solutions,Education,400 Learning Ln,Knowledge City,EduNation,info@edutechsolutions.edu,1555000777,Prof. John Learn,0,0,0,0,0
MediaMoguls,Media,852 Broadcast Blvd,Media City,Mediatopia,info@mediamoguls.com,7788990011,Media Tycoon,0,0,0,0,0
EcoFriendly Products,Manufacturing,1111 Eco Rd,Green City,EcoNation,info@ecofriendly.com,1999000111,Eco Smith,0,0,0,0,0
Eco Builders,Real Estate,712 Greenway,Eco City,Sustainland,info@ecobuilders.com,1122446688,Green Designer,0,0,0,0,0
Fashion Forward,Retail,321 Style Street,Fashion City,Trendland,contact@fashionforward.com,1559988776,Alex Style,0,0,0,0,0
Tech Innovators,Technology,321 Tech Ave,Innovate City,TechLand,hello@techinnovators.com,1122334455,Taylor Innovate,0,0,0,0,0
Fashion Forward,Fashion,2021 Style Street,Fashion City,Trendland,contact@fashionforward.com,1667788990,Style Icon,0,0,0,0,0
GreenFuture Developments,Real Estate,915 Green St,EcoTown,Greenland,contact@greenfuture.com,1122334461,Eco Planner,0,0,0,0,0
PureNature Organics,Agriculture,987 Nature Rd,GreenCity,EcoLand,contact@purenature.com,5567890123,Alex Nature,0,0,0,0,0
