company_id,company_name,industry_sector,street_address,city_address,country_address,email_address,phone_number,company_owner
1,ActiveWear Ltd.,Sports,789 Workout Rd,Sportstown,Athletica,hello@activewear.com,9900112233,Taylor Exercise
2,Adventure Gear,Retail,963 Adventure Rd,GearCity,ExploreLand,info@adventuregear.com,1415161718,Charlotte Black
3,Adventure Heights,Tourism,511 Summit St,Highland,Mountland,contact@adventureheights.com,6677889904,Climber Hill
4,Adventure Outdoors,Recreation,404 Adventure Ln,Explore City,Adventuria,info@adventureoutdoors.com,1555666777,Trail Blazer
5,Adventure Outfitters,Retail,558 Adventure St,Outdoor City,ExploreLand,sales@adventureoutfitters.com,6655443325,Explorer Jane
6,Adventure Planners,Tourism,1010 Adventure Road,Travel City,Tourland,info@adventureplanners.adv,9988776656,Journey Master
7,Adventure Sports Co.,Sports,864 Adventure Road,Sport City,Playland,contact@adventuresports.com,1434455667,Morgan Sport
8,Adventure Supplies,Retail,560 Adventure St,Outdoor City,ExploreLand,info@adventuresupplies.com,6655443327,Explorer Ella
9,Adventure Tours,Travel,999 Adventure Rd,Travel City,WanderLand,contact@adventuretours.com,3344556677,Liam Cyan
10,Adventure Tours Co.,Travel,322 Explore St,Adventure City,Traveland,support@adventuretours.com,7788990012,Alex Journey
11,Adventure Travel Co.,Travel,1300 Adventure Road,Travel City,ExploreLand,contact@adventuretravel.com,3345678901,Karen Explorer
12,Adventure Travels,Tourism,753 Explorer St,Travel City,Wanderland,contact@adventuretravels.com,3344556677,Jordan Explorer
13,Adventure Travels Co.,Travel,1111 Journey Rd,Travel Town,Exploreland,contact@adventuretravel.com,1516171819,Wander Lust
14,Adventure Travelz,Travel,10000 Explore Road,Adventure City,Traveland,contact@adventuretravelz.com,9900111123,Explore Holdings
15,AdventureWorld Tours,Travel,707 Journey St,Explore City,Travelia,info@adventureworld.com,1555666777,Wendy Lust
16,Aero Breeze,Aviation,704 Flight Path,Air City,Flyland,contact@aerobreeze.com,6677889904,Fly Holdings
17,Aero Dynamics Inc,Aviation,4444 Jetstream Rd,Aero City,Flyland,contact@aerodynamics.inc,1122334455,Morgan Wind
18,Aero Dynmics Inc.,Aviation,4444 Jetstream Road,Aero City,Flyland,info@aerodynamics.inc,1122334455,Morgan Wind
19,Aero Ventures,Aviation,205 Flight Way,Air City,Flyland,info@aeroventures.com,1444555999,Casey Navigator
20,AeroDynamics,Aerospace,2000 Flight Way,Aeropolis,Skyland,info@aerodynamics.com,2233445600,Sky Pilot
21,AeroDynamics Corp,Aerospace,103 Skyway Blvd.,AeroCity,Skyland,support@aerodynamicscorp.com,9900334458,Sam B. Blue
22,AeroDynamicz Inc,Aerospace,303 Flight Path,Aeroville,Skyland,contact@aerodynamiczinc.com,2233445567,Avery Sky
23,AeroLift Services,Aviation,789 Skyway Blvd,Aero City,Flyland,support@aerolift.air,1122334455,Casey Pilot
24,AeroSpace Dynamics,Aerospace,900 Space Rd,Orbit City,Spaceland,support@aerospace.com,1567890123,Sky Pilot
25,AeroTech Dynamics,Aviation,816 Jetstream Rd,Aero City,Flyland,support@aerotech.air,1122334455,Sky Pilot
26,AeroTech Enterprises,Aviation,1515 Flight Rd,Aero City,Flyland,info@aerotechenterprises.com,1122334457,Jordan Dynamics
