SignupYear,Gender,AgeGroup,Country,ServiceType,AdSpent,Clicks,Conversions,EmailOpens,EmailClicks,WebsiteVisits,SocialMediaEngagement,ReferralConversions,ContactedOwner,ScheduledMeeting,ReportsMonthly
2021,Female,18--20,US,SEO,500,50,5,100,10,200,50,3,1,0,0
2021,Male,21--25,UK,Content,300,30,3,90,9,150,40,2,0,0,0
2020,Female,26--30,CA,PPC,700,70,7,110,11,250,60,5,1,0,1
2022,Male,31--35,AU,Email,200,20,2,80,8,100,30,1,0,0,0
2021,Female,36--40,IN,SEO,400,40,4,120,12,180,45,4,0,0,1
2019,Male,41--45,DE,Content,600,60,6,130,13,220,55,6,0,1,1
2021,Female,46--50,FR,PPC,350,35,3,140,14,160,35,2,0,1,1
2021,Male,51--55,JP,Email,450,45,4,150,15,210,50,3,0,0,0
2022,Female,56--60,BR,SEO,250,25,2,160,16,140,30,1,0,1,1
2021,Male,18--20,CN,Content,550,55,5,170,17,230,60,4,1,0,0
2019,Female,21--25,US,PPC,650,65,6,180,18,190,40,5,1,0,0
2022,Male,26--30,UK,Email,300,30,3,190,19,120,20,1,0,0,0
2020,Female,31--35,CA,SEO,500,50,5,200,20,250,70,6,1,1,1
2021,Male,36--40,AU,Content,400,40,4,210,21,220,50,3,0,1,1
2019,Female,41--45,IN,PPC,550,55,5,220,22,270,80,4,1,1,0
2022,Male,46--50,DE,Email,450,45,4,230,23,150,30,2,0,0,1
2020,Female,51--55,FR,SEO,350,35,3,240,24,180,40,1,1,1,0
2021,Male,56--60,JP,Content,600,60,6,250,25,260,90,5,0,0,0
2019,Female,18--20,BR,PPC,700,70,7,260,26,170,45,2,0,0,0
2022,Male,21--25,CN,Email,250,25,2,270,27,200,55,3,0,1,0
2020,Female,26--30,US,SEO,300,30,3,280,28,140,35,1,0,1,0
2021,Male,31--35,UK,Content,500,50,5,290,29,210,60,4,0,0,1
2019,Female,36--40,CA,PPC,400,40,4,300,30,220,70,5,0,1,1
2022,Male,41--45,AU,Email,550,55,5,310,31,250,80,6,0,1,1
2020,Female,46--50,IN,SEO,450,45,4,320,32,180,45,2,1,0,0
2021,Male,51--55,DE,Content,350,35,3,330,33,270,90,3,1,1,1
2019,Female,56--60,FR,PPC,600,60,6,340,34,150,40,1,0,1,0
2022,Male,18--20,JP,Email,700,70,7,350,35,260,100,5,0,0,0
2020,Female,21--25,BR,SEO,250,25,2,360,36,220,50,2,1,0,1
2021,Male,26--30,CN,Content,550,55,5,370,37,200,60,3,0,1,0
2019,Female,31--35,US,PPC,650,65,6,380,38,250,70,4,0,0,1
2022,Male,36--40,UK,Email,300,30,3,390,39,270,80,5,1,0,0
2020,Female,41--45,CA,SEO,500,50,5,400,40,200,45,6,1,1,1
2021,Male,46--50,AU,Content,400,40,4,410,41,220,90,1,0,1,1
2019,Female,51--55,IN,PPC,550,55,5,420,42,150,30,2,0,0,0
2022,Male,56--60,DE,Email,450,45,4,430,43,170,55,3,1,1,1
2020,Female,18--20,FR,SEO,350,35,3,440,44,260,70,4,0,0,0
2021,Male,21--25,JP,Content,600,60,6,450,45,250,80,5,1,0,1
2019,Female,26--30,BR,PPC,700,70,7,460,46,270,90,6,0,0,1
2022,Male,31--35,CN,Email,250,25,2,470,47,180,100,1,1,0,1
2020,Female,36--40,US,SEO,300,30,3,480,48,150,50,2,0,1,1
2021,Male,41--45,UK,Content,500,50,5,490,49,220,60,3,0,0,0
2019,Female,46--50,CA,PPC,400,40,4,500,50,250,70,4,0,1,1
2022,Male,51--55,AU,Email,550,55,5,510,51,200,80,5,0,1,1
2020,Female,56--60,IN,SEO,450,45,4,520,52,270,90,6,0,1,0
2021,Male,18--20,DE,Content,350,35,3,530,53,150,40,2,0,0,1
2019,Female,21--25,FR,PPC,600,60,6,540,54,180,55,3,0,0,1
2022,Male,26--30,JP,Email,700,70,7,550,55,260,70,4,1,1,0
2020,Female,31--35,BR,SEO,250,25,2,560,56,200,80,5,0,1,0
2021,Male,36--40,CN,Content,550,55,5,570,57,220,90,6,0,1,0
2019,Female,41--45,US,PPC,650,65,6,580,58,170,100,1,0,1,1
2022,Male,46--50,UK,Email,300,30,3,590,59,140,50,2,0,0,0
2020,Female,51--55,CA,SEO,500,50,5,600,60,200,60,3,0,0,0
2021,Male,56--60,AU,Content,400,40,4,610,61,210,70,4,0,0,1
2019,Female,18--20,IN,PPC,550,55,5,620,62,250,80,5,1,1,0
2022,Male,21--25,DE,Email,450,45,4,630,63,180,90,6,1,0,0
2020,Female,26--30,FR,SEO,350,35,3,640,64,270,100,1,1,1,1
2021,Male,31--35,JP,Content,600,60,6,650,65,220,50,2,0,0,1
2019,Female,36--40,BR,PPC,700,70,7,660,66,250,60,3,0,0,0
2022,Male,41--45,CN,Email,250,25,2,670,67,170,70,4,0,0,0
2020,Female,46--50,US,SEO,300,30,3,680,68,180,80,5,1,1,1
