city,age_range,price_issue,quality_issue,service_issue,delivery_issue,description_issue,product_code,period
Springfield,(30-40],False,True,False,False,False,A,2023-H1
Springfield,(30-40],False,True,False,True,False,A,2023-H2
Springfield,(30-40],False,True,False,False,True,A,2023-H1
Shelbyville,(30-40],True,True,False,False,False,A,2023-H1
Springfield,(30-40],False,True,True,False,False,B,2023-H1
Shelbyville,(20-30],True,False,False,False,False,B,2023-H1
Metropolis,(40-50],False,False,True,False,False,C,2023-H1
Gotham,(20-30],False,False,False,True,False,D,2023-H2
Star City,(20-30],True,False,False,False,True,E,2023-H2
Central City,(50-60],False,True,False,False,False,F,2023-H1
Coast City,(30-40],False,False,True,False,False,G,2023-H1
,(40-50],False,False,False,True,False,H,2023-H2
Hell's Kitchen,(30-40],True,False,False,False,False,A,2023-H2
Coast City,(30-40],False,True,False,False,False,B,2023-H1
,(20-30],False,False,True,False,False,C,2023-H1
,(30-40],False,False,False,True,False,D,2023-H2
River Heights,(20-30],True,False,False,False,True,E,2023-H2
Star City,(30-40],False,True,False,False,False,F,2023-H1
New York,(20-30],False,False,True,False,False,G,2023-H1
Lima,(20-30],False,False,False,True,False,H,2023-H2
Rivertown,(40-50],True,False,False,False,False,B,2022-H2
Rivertown,(40-50],False,True,False,False,False,B,2022-H2
Rivertown,(20-30],False,False,True,False,False,B,2022-H2
Rivertown,(20-30],False,False,False,True,False,B,2022-H2
Rivertown,(40-50],False,False,False,False,True,B,2022-H2
Lakeside,(30-40],False,True,False,False,False,A,2023-H1
Springfield,(20-30],True,False,False,False,False,C,2023-H1
Greenfield,(30-40],False,False,True,False,False,D,2023-H2
Hilltown,(30-40],False,False,False,True,False,E,2023-H2
Riverbend,(20-30],False,False,False,False,True,F,2023-H1
Meadowville,(40-50],True,False,False,False,False,G,2023-H1
Brookside,(30-40],False,True,False,False,False,H,2023-H2
Forestville,(40-50],False,False,True,False,False,A,2023-H2
Seaside,(20-30],False,False,False,True,False,B,2023-H1
Mountainview,(30-40],False,False,False,False,True,C,2023-H1
Valleytown,(40-50],True,False,False,False,False,D,2023-H2
Riverside,(30-40],False,True,False,False,False,E,2023-H2
Lakeside,(20-30],False,False,True,False,False,F,2023-H1
Hilltown,(40-50],False,False,False,True,False,G,2023-H1
Greenfield,(30-40],False,False,False,False,True,H,2023-H2
Lakeside,(20-30],False,False,True,False,False,C,2021-H2
Lakeside,(20-30],False,False,True,False,False,C,2021-H2
Lakeside,(20-30],False,False,True,False,False,C,2021-H2
Lakeside,(20-30],False,False,True,False,False,C,2021-H2
Lakeside,(20-30],False,False,True,False,False,C,2021-H2
Springfield,(40-50],True,False,False,False,False,A,2022-H1
Rivertown,(30-40],False,True,False,False,False,B,2022-H1
Hilltop,(50-60],False,False,False,True,False,D,2022-H2
Lakeside,(20-30],False,False,False,False,True,E,2022-H2
Meadowville,(30-40],True,True,False,False,False,F,2023-H1
Lakeside,(30-40],False,False,True,False,False,C,2023-H1
Rivertown,(40-50],False,True,False,True,False,G,2023-H2
Springfield,(20-30],True,False,False,False,True,H,2023-H2
Hilltop,(40-50],False,True,True,False,False,A,2023-H1
Meadowville,(30-40],False,False,False,True,True,B,2023-H1
Springfield,(20-30],True,False,False,False,False,C,2023-H2
Rivertown,(40-50],False,True,False,False,False,D,2023-H2
Lakeside,(30-40],False,False,True,False,False,E,2023-H1
Hilltop,(20-30],True,False,False,True,False,F,2023-H1
Meadowville,(50-60],False,True,False,False,True,G,2023-H2
Hilltop,(40-50],False,False,False,True,False,D,2023-H1
Hilltop,(50-60],False,False,False,True,False,D,2023-H1
