name,sector,address,city,country,email,phone,owner,safety_grievances,pay_grievances,conditions_grievances,treatment_grievances,workload_grievances
SmartBuild,Real Estate,60 Living St,HomeCity,Houseland,info@smartbuild.com,1213141521,Home Architect,0,0,0,0,0
AgriGrowth Ltd,Agriculture,500 Farm Rd,AgroVille,FarmLand,contact@agrigrowth.com,3344556677,Tom Farmer,0,0,0,0,0
MediCare Services,Healthcare,101 Health Blvd,Medicity,Healthland,support@medicare.com,2233445566,Dr. Heal,0,0,0,0,0
HealthGuard Services,Healthcare,654 Wellness Blvd,Health City,Careland,info@healthguard.med,3334445559,Dr. Safe,0,0,0,0,0
Skyline Architects,Architecture,303 Design Blvd,Arch City,Designia,contact@skylinearch.com,3344556677,Anna Design,0,0,0,0,0
CleanEnergi Co,Energy,900 Solar St.,Energy City,Powerland,info@cleanenergi.com,1777888999,Power Corp,0,0,0,0,0
Woodland Timber Supplies,Manufacturing,175 Timber Trail,Woodland,Leafland,support@woodlandtimber.com,4455667813,Oak Leaf,0,0,0,0,0
AutoDrive Inc.,Automotive,987 Motorway,Drive City,Autoland,info@autodriveinc.com,6677889900,Alex Auto,0,0,0,0,0
TechFinance Innovations,Finance,505 Money St,Finance City,Bankland,support@techfinanceinnovations.com,9876543215,Alice Cash,0,0,0,0,0
BrightFuture Consulting,Consulting,321 Knowledge Ave,EduCity,LearnLand,consult@brightfuture.edu,1234567891,Liam Johnson,0,0,0,0,0
AgriGrowth Ltd.,Agriculture,202 Farm Lane,Harvest Town,Agroland,info@agrigrowth.com,2233445566,Bob Farmer,0,0,0,0,0
Smart Solutions,Technology,987 Smart Rd,Techville,Innovatia,info@smartsolutions.com,1234567897,Alex Smart,0,0,0,0,0
AgriTech Farms,Agriculture,700 Harvest Road,Farm City,AgriLand,contact@agritechfarms.com,7890123456,Eve Farmer,0,0,0,0,0
HealthFirst,Healthcare,321 Wellness St,HealthCity,CareLand,support@healthfirst.com,7890123456,Morgan Care,0,0,0,0,0
SkyLift Carriers,Logistics,417 Sky St.,SkyCity,SkyLand,info@skylift.com,9900990022,Sky Navigator,0,0,0,0,0
Harvest Solutions,Agriculture,1313 Solution Ave,Solution City,USA,contact@harvestsolutions.com,1415161718,Solution Farmer,0,0,0,0,0
Tech Pioneers,Information Technology,200 Tech Avenue,Innovate City,Futuristan,info@techpioneers.com,1234567897,Jamie Innovator,0,0,0,0,0
Innovative Gears Co.,Technology,128 Innovation Dr.,Techville,Innovatia,contact@innovativegears.com,1234567895,Jordan Tech,0,0,0,0,0
