entity_id,entity_flags,network_id,network_entities,network_flags,flagged,flags/entity,flagged/unflagged
MediaWave Studios,6,47,10,93,9,9.3,9.0
MediaWave Productions,25,47,10,93,9,9.3,9.0
MediaWave Entertainment,10,47,10,93,9,9.3,9.0
Creative Visions,0,47,10,93,9,9.3,9.0
MediaWave Productions Inc,16,47,10,93,9,9.3,9.0
Wave Media Group,4,47,10,93,9,9.3,9.0
WaveTech Productions,7,47,10,93,9,9.3,9.0
EntertainmentHub,7,408,3,12,2,4.0,2.0
Entertainment World,5,408,3,12,2,4.0,2.0
Entertainment Hub,0,408,3,12,2,4.0,2.0
BlueSky Aviation,0,384,11,58,7,5.27,1.75
SkyBound Flightz,2,384,11,58,7,5.27,1.75
SkyBound Flights,2,384,11,58,7,5.27,1.75
Blue Sky Airways,0,384,11,58,7,5.27,1.75
AeroLift Services,1,384,11,58,7,5.27,1.75
SkyBound Flitez,2,384,11,58,7,5.27,1.75
AeroLink Services,2,384,11,58,7,5.27,1.75
SmartTech Innovations,5,126,10,79,6,7.9,1.5
TechnoVision Ltd,1,126,10,79,6,7.9,1.5
TechnoBuild Inc,28,126,10,79,6,7.9,1.5
Smart Tech Solutions,0,126,10,79,6,7.9,1.5
SmartTech,1,126,10,79,6,7.9,1.5
News Innovators,0,352,5,17,3,3.4,1.5
Broadcast Pioneers,0,352,5,17,3,3.4,1.5
WaveMedia,7,352,5,17,3,3.4,1.5
MediaStream,6,352,5,17,3,3.4,1.5
BroadcastWave,4,352,5,17,3,3.4,1.5
FinSecure Bank,11,327,17,96,10,5.65,1.43
FinSecure Advisory,1,327,17,96,10,5.65,1.43
FinSecure Loans,5,327,17,96,10,5.65,1.43
FinServe Financials,0,327,17,96,10,5.65,1.43
FinSecure Financial,2,327,17,96,10,5.65,1.43
FinServe Financial,0,327,17,96,10,5.65,1.43
GreenLeaf Produce,8,79,21,77,12,3.67,1.33
Finance Pros,2,321,14,80,8,5.71,1.33
Tech Titans,56,122,7,121,4,17.29,1.33
Digital Dynamics Inc,17,122,7,121,4,17.29,1.33
Urban Tek,0,122,7,121,4,17.29,1.33
GadgetWave Creations,0,122,7,121,4,17.29,1.33
Digital Dynamics Solutions,17,122,7,121,4,17.29,1.33
Tech Titans Inc,0,122,7,121,4,17.29,1.33
GreenLeaf Farms,16,79,21,77,12,3.67,1.33
Green Earth Farms,0,79,21,77,12,3.67,1.33
LeafyGreen Ent,2,79,21,77,12,3.67,1.33
FinTech Solutions,3,321,14,80,8,5.71,1.33
Earthly Farms,0,79,21,77,12,3.67,1.33
FinTech Innovate,0,321,14,80,8,5.71,1.33
LeafyGreen Enterprises,4,79,21,77,12,3.67,1.33
GreenSprout Ltd,4,79,21,77,12,3.67,1.33
Fresh Produce Ltd,0,79,21,77,12,3.67,1.33
EcoHarvest Co,1,79,21,77,12,3.67,1.33
PlanIt,0,321,14,80,8,5.71,1.33
FinServe Banking,2,321,14,80,8,5.71,1.33
FinServe Group,7,321,14,80,8,5.71,1.33
GreenLeaf Farm Co,6,79,21,77,12,3.67,1.33
GreenTech Farms,0,79,21,77,12,3.67,1.33
TechnoCraft Industries,3,0,9,16,5,1.78,1.25
TechnoCraft Industires,3,0,9,16,5,1.78,1.25
TechnoCraft Solutions,2,0,9,16,5,1.78,1.25
Innovative Machines,0,0,9,16,5,1.78,1.25
TechnoCraft Innovations,7,0,9,16,5,1.78,1.25
Forge Industries,0,0,9,16,5,1.78,1.25
TechnoCraft,0,0,9,16,5,1.78,1.25
CraftTech Solutions,1,0,9,16,5,1.78,1.25
FinSecure Inc,0,326,11,31,6,2.82,1.2
FinSecure Group,0,326,11,31,6,2.82,1.2
FinSecure Insurance,4,326,11,31,6,2.82,1.2
FinSecure Investments,5,326,11,31,6,2.82,1.2
FinTech Pioneers,11,326,11,31,6,2.82,1.2
UrbanBuild Inc,0,400,19,400,10,21.05,1.11
UrbanBuild Company,5,400,19,400,10,21.05,1.11
UrbanBuild Corporation,0,400,19,400,10,21.05,1.11
UrbanBuild Corp,0,400,19,400,10,21.05,1.11
UrbanBuild Associates,0,400,19,400,10,21.05,1.11
UrbanBuild Design Co,59,400,19,400,10,21.05,1.11
UrbanBuild Constructors,0,398,21,385,11,18.33,1.1
GreenMedia Productions,0,398,21,385,11,18.33,1.1
UrbanBuild Construction,7,398,21,385,11,18.33,1.1
Urban Constructors,39,398,21,385,11,18.33,1.1
Blue Ocean Airlines,0,55,21,359,11,17.1,1.1
SkyBound Airways,0,55,21,359,11,17.1,1.1
SkyHigh Maintenance,20,55,21,359,11,17.1,1.1
UrbanBuild,18,398,21,385,11,18.33,1.1
UrbanBuild Construktors,0,398,21,385,11,18.33,1.1
Air Horizon,0,55,21,359,11,17.1,1.1
UrbanBuild Constrction,0,398,21,385,11,18.33,1.1
UrbanBuild Constructors Inc,62,398,21,385,11,18.33,1.1
UrbanBuild Constructions,16,398,21,385,11,18.33,1.1
SkyHigh Express,6,55,21,359,11,17.1,1.1
Skyline Airways,0,55,21,359,11,17.1,1.1
SkyPath Logistics,0,55,21,359,11,17.1,1.1
