selections,protected_count
record_count,2981
age_range:(30-40],1289
period:2023-H2,1074
period:2023-H1,1062
quality_issue:True,956
service_issue:True,950
price_issue:True,941
delivery_issue:True,912
age_range:(20-30],762
age_range:(40-50],751
description_issue:True,726
age_range:(30-40];period:2023-H2,500
age_range:(30-40];quality_issue:True,435
age_range:(30-40];period:2023-H1,431
product_code:C,429
age_range:(30-40];price_issue:True,427
age_range:(30-40];delivery_issue:True,409
product_code:A,392
product_code:G,387
period:2023-H1;price_issue:True,386
product_code:D,377
age_range:(30-40];service_issue:True,377
product_code:E,376
period:2023-H2;quality_issue:True,374
period:2023-H2;service_issue:True,369
delivery_issue:True;period:2023-H2,352
city:Lakeside,352
product_code:F,352
product_code:B,351
delivery_issue:True;period:2023-H1,340
period:2023-H1;quality_issue:True,332
period:2023-H2;price_issue:True,329
product_code:H,325
period:2023-H1;service_issue:True,322
age_range:(30-40];description_issue:True,317
age_range:(20-30];period:2023-H1,284
age_range:(40-50];period:2023-H1,283
description_issue:True;period:2023-H1,281
age_range:(20-30];period:2023-H2,281
description_issue:True;period:2023-H2,263
city:Hilltop,261
city:Springfield,261
age_range:(20-30];service_issue:True,258
age_range:(40-50];delivery_issue:True,243
age_range:(40-50];price_issue:True,238
age_range:(20-30];quality_issue:True,236
age_range:(40-50];service_issue:True,230
age_range:(40-50];period:2023-H2,230
product_code:C;service_issue:True,227
price_issue:True;product_code:A,225
age_range:(40-50];quality_issue:True,225
period:2023-H2;product_code:D,223
age_range:(20-30];price_issue:True,221
period:2023-H2;product_code:H,210
city:Rivertown,210
age_range:(20-30];delivery_issue:True,207
period:2022-H2,206
period:2023-H1;product_code:B,204
age_range:(30-40];product_code:G,198
age_range:(40-50];description_issue:True,197
product_code:B;quality_issue:True,194
age_range:(30-40];product_code:A,192
city:Riverside,185
age_range:(30-40];period:2023-H2;quality_issue:True,184
delivery_issue:True;price_issue:True,182
age_range:(50-60],181
delivery_issue:True;service_issue:True,179
age_range:(30-40];delivery_issue:True;period:2023-H2,175
age_range:(20-30];description_issue:True,175
age_range:(30-40];product_code:B,174
period:2023-H1;product_code:F,174
price_issue:True;service_issue:True,173
description_issue:True;price_issue:True,172
period:2023-H1;product_code:C,168
period:2023-H2;product_code:C,167
delivery_issue:True;quality_issue:True,165
quality_issue:True;service_issue:True,162
age_range:(30-40];period:2023-H2;service_issue:True,162
period:2023-H1;product_code:G,161
city:Lakeside;period:2023-H2,160
age_range:(30-40];period:2023-H1;price_issue:True,158
delivery_issue:True;description_issue:True,157
age_range:(30-40];period:2023-H2;price_issue:True,157
age_range:(30-40];product_code:F,157
age_range:(30-40];product_code:E,157
delivery_issue:True;product_code:D,155
price_issue:True;quality_issue:True,154
age_range:(30-40];product_code:H,150
period:2023-H1;product_code:A,148
age_range:(30-40];period:2023-H1;service_issue:True,148
age_range:(30-40];city:Lakeside,148
period:2022-H1,146
period:2021-H2,146
product_code:G;service_issue:True,144
city:Hilltop;period:2023-H2,144
age_range:(30-40];period:2023-H1;quality_issue:True,141
price_issue:True;product_code:G,140
age_range:(30-40];product_code:C,139
delivery_issue:True;product_code:C,138
product_code:H;quality_issue:True,137
age_range:(30-40];product_code:D,134
city:Mountainview,131
delivery_issue:True;product_code:G,131
period:2023-H2;product_code:E,131
product_code:G;quality_issue:True,130
age_range:(40-50];product_code:C,130
city:Seaside,127
city:Lakeside;quality_issue:True,126
age_range:(30-40];price_issue:True;product_code:A,125
city:Springfield;period:2023-H1,124
price_issue:True;product_code:F,123
period:2023-H2;product_code:A,123
product_code:E;quality_issue:True,122
description_issue:True;product_code:E,122
age_range:(30-40];description_issue:True;period:2023-H2,121
description_issue:True;service_issue:True,120
description_issue:True;quality_issue:True,120
age_range:(20-30];period:2023-H1;price_issue:True,119
city:Lakeside;service_issue:True,119
product_code:F;service_issue:True,118
age_range:(30-40];description_issue:True;period:2023-H1,115
description_issue:True;product_code:C,114
product_code:H;service_issue:True,113
age_range:(20-30];product_code:C,111
age_range:(30-40];delivery_issue:True;period:2023-H1,111
city:Greenfield,111
city:Hilltop;delivery_issue:True,110
price_issue:True;product_code:D,110
age_range:(40-50];product_code:E,109
age_range:(20-30];product_code:A,109
delivery_issue:True;product_code:E,108
city:Hilltop;product_code:D,108
age_range:(20-30];product_code:F,107
description_issue:True;product_code:F,107
age_range:(40-50];description_issue:True;period:2023-H1,107
delivery_issue:True;product_code:H,106
city:Brookside,105
city:Lakeside;period:2023-H1,104
age_range:(20-30];product_code:D,103
product_code:F;quality_issue:True,103
age_range:(40-50];period:2023-H2;service_issue:True,103
age_range:(20-30];city:Springfield,103
product_code:D;service_issue:True,102
age_range:(40-50];product_code:D,102
city:Lakeside;product_code:C,101
age_range:(30-40];product_code:B;quality_issue:True,100
period:2021-H1,100
city:Springfield;price_issue:True,100
age_range:(40-50];period:2023-H1;price_issue:True,99
period:2020-H2,99
description_issue:True;product_code:H,98
age_range:(20-30];product_code:G,98
price_issue:True;product_code:E,98
city:Springfield;delivery_issue:True,98
age_range:(30-40];delivery_issue:True;price_issue:True,97
city:Springfield;quality_issue:True,97
age_range:(30-40];city:Springfield,97
delivery_issue:True;period:2023-H2;product_code:D,96
age_range:(20-30];city:Lakeside,96
period:2023-H1;product_code:B;quality_issue:True,96
period:2023-H1;price_issue:True;product_code:A,96
delivery_issue:True;product_code:B,96
period:2023-H2;product_code:G,96
city:Rivertown;period:2023-H1,96
age_range:(40-50];product_code:B,95
city:Rivertown;quality_issue:True,94
age_range:(30-40];period:2022-H2,94
period:2023-H1;product_code:E,93
city:Springfield;product_code:A,93
age_range:(20-30];product_code:B,92
age_range:(40-50];product_code:H,92
age_range:(30-40];period:2023-H2;product_code:H,91
age_range:(40-50];period:2023-H2;price_issue:True,91
age_range:(30-40];period:2023-H1;product_code:B,91
delivery_issue:True;period:2023-H2;price_issue:True,91
product_code:E;service_issue:True,90
price_issue:True;product_code:C,90
city:Lakeside;price_issue:True,89
age_range:(30-40];city:Lakeside;period:2023-H2,89
delivery_issue:True;product_code:F,89
age_range:(40-50];delivery_issue:True;period:2023-H1,89
description_issue:True;period:2023-H2;price_issue:True,88
age_range:(40-50];period:2023-H1;quality_issue:True,88
description_issue:True;product_code:A,87
age_range:(30-40];delivery_issue:True;quality_issue:True,87
period:2023-H2;product_code:C;service_issue:True,86
city:Riverside;price_issue:True,85
period:2023-H1;price_issue:True;service_issue:True,85
city:Rivertown;product_code:B,85
age_range:(30-40];period:2023-H2;product_code:D,85
age_range:(20-30];period:2023-H2;service_issue:True,85
product_code:D;quality_issue:True,84
age_range:(50-60];period:2023-H2,84
age_range:(40-50];city:Lakeside,84
age_range:(30-40];period:2023-H1;product_code:F,84
description_issue:True;product_code:D,83
age_range:(20-30];period:2023-H1;quality_issue:True,83
age_range:(40-50];city:Hilltop,83
period:2023-H2;product_code:H;quality_issue:True,82
delivery_issue:True;period:2023-H1;service_issue:True,82
city:Meadowville,81
city:Lakeside;period:2023-H2;quality_issue:True,81
age_range:(40-50];period:2023-H1;service_issue:True,81
period:2023-H1;product_code:G;service_issue:True,81
age_range:(20-30];delivery_issue:True;period:2023-H2,81
period:2023-H2;price_issue:True;service_issue:True,80
city:Riverside;period:2023-H1,80
product_code:C;quality_issue:True,80
delivery_issue:True;product_code:A,80
product_code:A;service_issue:True,79
age_range:(30-40];price_issue:True;service_issue:True,79
age_range:(30-40];delivery_issue:True;service_issue:True,79
age_range:(30-40];price_issue:True;product_code:G,79
age_range:(30-40];quality_issue:True;service_issue:True,78
age_range:(50-60];service_issue:True,78
price_issue:True;product_code:H,78
city:Springfield;period:2023-H2,78
description_issue:True;period:2023-H2;product_code:H,77
city:Lakeside;delivery_issue:True,77
age_range:(20-30];product_code:E,77
product_code:A;quality_issue:True,76
delivery_issue:True;description_issue:True;period:2023-H1,76
age_range:(30-40];price_issue:True;quality_issue:True,75
price_issue:True;product_code:B,75
age_range:(40-50];product_code:F,75
city:Hilltop;quality_issue:True,74
city:Hilltop;period:2023-H1,74
age_range:(30-40];description_issue:True;price_issue:True,74
product_code:B;service_issue:True,73
age_range:(20-30];description_issue:True;period:2023-H1,73
age_range:(20-30];period:2023-H2;quality_issue:True,73
description_issue:True;period:2023-H2;service_issue:True,73
description_issue:True;period:2023-H1;price_issue:True,73
city:Hilltown,72
city:Riverside;description_issue:True,72
delivery_issue:True;period:2022-H2,72
city:Springfield;service_issue:True,71
period:2023-H1;product_code:C;service_issue:True,71
age_range:(40-50];period:2023-H2;quality_issue:True,71
delivery_issue:True;period:2023-H1;product_code:G,71
age_range:(40-50];city:Rivertown,71
age_range:(20-30];period:2023-H1;service_issue:True,71
age_range:(30-40];period:2023-H2;product_code:A,71
age_range:(40-50];delivery_issue:True;description_issue:True,70
delivery_issue:True;period:2023-H1;product_code:B,70
period:2022-H2;quality_issue:True,70
age_range:(20-30];delivery_issue:True;period:2023-H1,70
age_range:(30-40];city:Riverside,70
age_range:(40-50];product_code:A,69
age_range:(30-40];city:Seaside,69
age_range:(20-30];price_issue:True;product_code:A,69
age_range:(50-60];delivery_issue:True,69
period:2023-H2;product_code:H;service_issue:True,69
age_range:(20-30];period:2023-H2;price_issue:True,69
period:2023-H1;price_issue:True;quality_issue:True,68
city:Springfield;price_issue:True;product_code:A,68
delivery_issue:True;period:2023-H1;quality_issue:True,68
age_range:(30-40];period:2023-H1;product_code:G,67
period:2023-H1;product_code:D,67
delivery_issue:True;period:2023-H2;quality_issue:True,67
age_range:(40-50];product_code:G,66
city:Rivertown;product_code:B;quality_issue:True,66
period:2023-H1;price_issue:True;product_code:G,66
age_range:(40-50];delivery_issue:True;period:2023-H2,66
city:Mountainview;product_code:C,66
age_range:(30-40];product_code:C;service_issue:True,66
city:Hilltop;service_issue:True,66
age_range:(20-30];product_code:B;quality_issue:True,65
age_range:(40-50];city:Riverside,65
age_range:(30-40];city:Lakeside;quality_issue:True,65
age_range:(30-40];period:2023-H1;product_code:C,65
city:Riverside;period:2023-H2,64
age_range:(30-40];city:Rivertown,64
age_range:(30-40];period:2022-H1,64
age_range:(30-40];product_code:H;quality_issue:True,64
city:Hilltop;period:2023-H2;quality_issue:True,63
age_range:(30-40];city:Hilltop,63
city:Springfield;product_code:G,63
city:Hilltop;period:2023-H2;service_issue:True,63
age_range:(30-40];product_code:G;service_issue:True,63
period:2021-H2;service_issue:True,63
period:2023-H1;price_issue:True;product_code:F,63
city:Lakeside;product_code:C;service_issue:True,62
city:Hilltop;delivery_issue:True;product_code:D,62
city:Mountainview;delivery_issue:True,62
age_range:(40-50];description_issue:True;period:2023-H2,62
age_range:(30-40];delivery_issue:True;product_code:B,62
age_range:(30-40];product_code:F;service_issue:True,62
age_range:(40-50];period:2023-H1;product_code:C,62
city:Lakeside;description_issue:True,62
period:2023-H2;quality_issue:True;service_issue:True,62
description_issue:True;period:2023-H2;quality_issue:True,61
age_range:(20-30];period:2023-H1;product_code:A,61
age_range:(40-50];price_issue:True;product_code:A,61
age_range:(20-30];period:2023-H2;product_code:C,61
